tweet,timestamp,bp_label
Well that was a huge buildup to finally introduce the Furious. https://t.co/N124WFVow9,2021-05-30 11:11:26+00:00,False
"                                               Kiss some butt?

I don't think I've seen that one.",2021-05-30 00:51:31+00:00,False
"                                               Wow. You honestly believe that at face value?

Atom comes from ""uncuttable, indivisible"" they had no idea what atoms were. They were making a distinction between a tangible object and its opposite, the void or lack of filled space. 

Modern science decided to adopt the term.",2021-05-29 22:25:49+00:00,False
                                               There's more to an atom than that. An atom has its own parts.,2021-05-29 22:08:11+00:00,False
                                               How much knowledge did you start with when you were born? Who taught you what you know?,2021-05-29 22:03:45+00:00,False
They're trying to erase a particular Ferengi. They don't think he's famous enough. Disregarding all of his screen time in DS9. How awful. https://t.co/n594ipAvhM,2021-05-29 16:05:15+00:00,False
 Please get to an emergency room if you feel desperate.,2021-05-29 15:58:48+00:00,False
"A dating app told me I missed a match with a woman who claimed to be psychic.

She's obviously not good at it.",2021-05-29 05:51:25+00:00,False
"                                            Natural typically implies of or from nature. Instead of designed, which means artificial. By using ""natural"" there is no decider. It would be completely hands off. Any intervention would be artificial or divine and we have no evidence that anything in the universe meets that.",2021-05-28 22:57:06+00:00,False
"                                             This analogy is so stupid.

It ignores that you never have to touch a hot surface directly to know it's hot. You can put it close enough to feel the radiant heat.

It discourages critical thinking and encourages dumb blind obedience.",2021-05-28 22:51:17+00:00,False
"                                            If a person acts within the parameters of a universe that you claim was supplied by god. Then there is no way for them to violate ""natural order"" of it. It would need a god to violate natural universal laws. Wouldn't it?",2021-05-28 22:48:26+00:00,False
"Tardigrade: ""I'm starting to think they're trying to to kill us!""
https://t.co/r1jn8AjPLp",2021-05-28 18:21:45+00:00,False
                                               Have you prepared yourself for disappointment?,2021-05-28 16:46:33+00:00,False
"                                               Good to know. Cheers. 
Enjoy your remaining days as well.",2021-05-28 15:53:59+00:00,False
"                                               Here's some evidence of your hurt feelings
""Grow up""
https://t.co/G1phFlmuG0
""Pigs"" - About something you started.
https://t.co/volGNVV3xN
""No, you are!""
https://t.co/6CWLtPRE08
🤷‍♂️ Seems pretty hurt.",2021-05-28 15:52:06+00:00,False
"                                               Wow bert. I'm positive that nobody else in this thread arrived to the same conclusion as you. You start insulting people. Tell me to grow up when I play your game. Then you reply with a ""no you are!"" You're a 70 year old baby who can't take it.",2021-05-28 15:47:44+00:00,False
"                                               Haha nothing better then an old man using an ""I'm rubber you're glue"" reply. 😂",2021-05-28 15:38:38+00:00,False
"                                               Again: You started it.

Now your feelings have been hurt.",2021-05-28 15:37:09+00:00,False
                                               Oh so I hit a nerve. Or there's truth there. Lol,2021-05-28 15:32:53+00:00,False
"                                               Lol you started it! With toothless old insults you thought were the bees knees then you moved to Spanish and Latin. If you don't know them or can't translate, why use them to begin with? Pendejo.",2021-05-28 15:20:09+00:00,False
                                               No hay diferencia entre una línea recta en su árbol genealógico. ¿Cómo está tu madre hermana tía?,2021-05-28 14:58:00+00:00,False
                                               You presume they're the same person.,2021-05-28 06:18:44+00:00,False
                                               Si sus cabras pudieran hablar. Conseguirían una orden de alejamiento.,2021-05-28 06:16:12+00:00,False
 It also teaches that irrational testing is acceptable to ensure faithfulness.,2021-05-28 06:02:13+00:00,False
                                               This is fun though - Naciste en una letrina porque tu madre pensó que eras agua de culo.,2021-05-28 05:48:42+00:00,False
                                               Strange that you believe rearing children has any correlation with making them.,2021-05-28 05:45:31+00:00,False
"                                               Old one, roughly ancient Spanish. Possibly older than cocoa itself. 

It speaks of a manly mother. How enjoyable it is to have her beard wrapped in the hairy eggs belonging to the author.",2021-05-28 05:31:00+00:00,False
                                               Tu madre es muy varonil.  Me gusta mucho su cara peluda enredada en mi pelo de huevo.,2021-05-28 05:14:44+00:00,False
                                               Watching this descent has been utterly fascinating.,2021-05-28 05:04:26+00:00,False
 I saw someone post an almost $900 bill to be told their son passed away.,2021-05-28 04:24:29+00:00,False
                                              Sure did.,2021-05-28 00:22:26+00:00,False
"                                              There's so much repressed inside of you. You're hurting, insecure, and lonely. You can get help. Medication is not the enemy and you can start to function normally.",2021-05-27 23:07:21+00:00,False
"                                              You should get some help. If you think that atheist is hostile you must be getting triggered. Talk to some professionals, they'll know the correct antipsychotics for you.",2021-05-27 22:15:00+00:00,False
"                                              Sure Titty, sure. 😂",2021-05-27 22:09:30+00:00,False
                                              Seek professional help. 😂,2021-05-27 22:07:42+00:00,False
"                                              Of course I do, so thanks for the compliment. I'm glad you find it funny.",2021-05-27 22:07:01+00:00,False
                                              So it's completely sane and normal for you to just reply to his reply to someone else about a debate with a DM request and calling him a coward? You're so weird.,2021-05-27 22:03:12+00:00,False
                                              You don't know what triggered means. 😂😂😂https://t.co/e9TiZpOTxv,2021-05-27 22:01:18+00:00,False
"                                              Projection. Lol, ok you're funny again.",2021-05-27 21:59:55+00:00,False
                                              Which account did you want him to send the DM to?,2021-05-27 21:58:54+00:00,False
                                              You've made that joke twice in this hour. Your material sucks. 😄,2021-05-27 21:55:52+00:00,False
                                              That's your name isn't it? Am I pronouncing it wrong? I spelt it phonetically as a formality. Sorry Titty.,2021-05-27 21:48:48+00:00,False
"                                              You keep repeating things over and over. Tell me Christ Titty Warrior, are you familiar with the informal definition of insanity? 

https://t.co/Btlo4S6H3u",2021-05-27 21:43:34+00:00,False
"                                              You keep using that word. A simple search reveals that you don't know how or when to use it. 

https://t.co/e9TiZpOTxv",2021-05-27 21:32:55+00:00,False
