tweet,timestamp,bp_label
We might go home today 🤞🏽🤞🏽,2021-05-30 12:37:03+00:00,False
 Sweet ev ❤️❤️,2021-05-29 22:40:54+00:00,False
My daughter has so much hair 🥺,2021-05-29 07:35:37+00:00,False
C sections are a bitch,2021-05-29 03:53:03+00:00,False
I can literally only hold my baby if I’m feeding her. I want to cry.,2021-05-27 07:08:08+00:00,False
How the fuck did I get pregnant while I had covid AND end my pregnancy being covid positive,2021-05-27 06:38:58+00:00,False
I am absolutely terrified,2021-05-27 04:48:01+00:00,False
"Alexa, play Transparent Soul",2021-05-26 01:26:10+00:00,False
"Maybe if you pull your head out of your self absorbed ass, you’d see that you are the problem.",2021-05-25 22:55:52+00:00,False
Oh so NOW Casey Anthony calls the cops 😂,2021-05-25 15:29:28+00:00,False
My dog likes cocomelon 💀,2021-05-24 22:57:28+00:00,False
"Instead of trying to catch flies, my cat just screams at them",2021-05-22 18:43:16+00:00,False
 Shoooooot I’ll tell him to hit up his boss for the address lmao,2021-05-22 05:17:03+00:00,False
" Apparently she had 2 Lexus F Sports, but he felt uncomfy and declined 😂💀",2021-05-22 05:16:04+00:00,False
 Stopppppp an 80 year old asked my bd to be her sugar baby today 💀💀💀💀,2021-05-22 05:13:19+00:00,False
   https://t.co/pGumPAIi0J,2021-05-22 04:11:09+00:00,False
You ever find a good ass pen and suddenly need to write everything down,2021-05-22 01:42:32+00:00,False
"For the love of god, PLEASE stop thinking you’re doing your child a favor by “unschooling” them.",2021-05-21 20:47:30+00:00,False
 Well just remember you have a nice rack and I love u ❤️,2021-05-21 00:21:26+00:00,False
" Respectfully, no. ❤️",2021-05-20 23:43:54+00:00,False
  😚,2021-05-20 20:47:21+00:00,False
"No, I don’t want to be in your color street group on Facebook.",2021-05-20 04:31:47+00:00,False
I’m very upset that I have to be pregnant for a week longer than planned.,2021-05-19 21:28:26+00:00,False
"My OB rlly just said “hey I know I told you that we’re going to induce you TOMORROW, but you might have to wait another week” 🥴 I’m trying to remain calm.",2021-05-18 19:26:20+00:00,False
I have so many things to do rn but I don’t even know where to start,2021-05-17 20:43:10+00:00,False
 I didn’t get trumpies but I somehow ended up on straight tiktok and knew my fyp was messed up,2021-05-17 05:18:07+00:00,False
I genuinely would not be mad if my water broke rn,2021-05-16 00:16:07+00:00,False
 Update on the drop: it makes her hiccups feel even more uncomfortable 😂,2021-05-15 23:37:18+00:00,False
I def dropped overnight,2021-05-15 22:53:11+00:00,False
My freshman history teacher looked like the human shrek,2021-05-15 19:02:19+00:00,False
 💀💀💀💀,2021-05-15 04:48:16+00:00,False
 Yes she works at Walmart,2021-05-15 04:47:41+00:00,False
"I don’t think that I’m a selfish person, but sometimes I have to do things for my own best interest.",2021-05-14 22:21:26+00:00,False
"Anyways, free Palestine 🇵🇸",2021-05-13 23:30:22+00:00,False
 Those were definitely every child predators favorite website/app,2021-05-12 20:52:09+00:00,False
 Same with kik. Like how did they never know about those two? 😂,2021-05-12 20:50:27+00:00,False
Were any of our parents aware of Omegle???? 😂,2021-05-12 20:36:46+00:00,False
 I need to see it,2021-05-12 04:07:35+00:00,False
  I love this 😂,2021-05-12 01:24:28+00:00,False
Anyone else wake up in the mood to punch Kim Reynolds every so often? Just me? Ok.,2021-05-12 01:17:39+00:00,False
I only have to be pregnant for one more week,2021-05-12 00:54:42+00:00,False
Not John mulaney getting a divorce too 🥲🥲,2021-05-10 21:28:09+00:00,False
Y’all LOVE to say pr doesn’t speak “real Spanish” until it’s time for you to butcher bad bunny lyrics 🥴,2021-05-10 21:21:46+00:00,False
 Mike lmao,2021-05-10 04:57:40+00:00,False
Sometimes I think abt the dude who used to sing the theme song to The Nanny to himself in the hallway in hs,2021-05-10 04:06:23+00:00,False
Happy milf day,2021-05-09 19:30:24+00:00,False
" I’m married to one, I know.",2021-05-09 04:03:13+00:00,False
I need to stop taking 3+ hour naps everyday,2021-05-09 03:34:04+00:00,False
"The mailman always waves to my cat when he’s sitting in the window, how cute 🥺",2021-05-07 19:14:08+00:00,False
 This is why I’m moving the second my house is paid off. I hate Illinois 🥲,2021-05-07 14:59:11+00:00,False
 Yeah I live on 15th Ave and during the storm a tree fell on our neighbors house and they wouldn’t do anything about it,2021-05-07 14:56:15+00:00,False
"City of Fulton: no you can’t hire someone to cut down your trees 

Also city of Fulton: no we won’t cut down the trees that burst the water pipes in your basement",2021-05-07 14:30:34+00:00,False
 13 days until induction and I’m lowkey freaking out 😅,2021-05-07 14:09:12+00:00,False
God I hate living in Fulton,2021-05-07 05:47:34+00:00,False
I’m 9 months pregnant as of today and whoever said pregnancy is beautiful is clearly blind,2021-05-07 02:16:14+00:00,False
You can exhale now,2021-05-05 02:43:03+00:00,False
 She def has the attitude of a Gemini already 😂😂,2021-05-04 19:01:48+00:00,False
 Well she’s already a pain in my ass like him 🤷🏻‍♀️😂,2021-05-04 18:58:02+00:00,False
 Sagittarius,2021-05-04 18:56:54+00:00,False
 My mom is an Aquarius so she’s hoping for a Gemini too. I’m a Pisces so Taurus is compatible with my sign 😂😂,2021-05-04 18:56:01+00:00,False
 Induction date it the very last day to be a Taurus 😅,2021-05-04 18:53:48+00:00,False
"My daughter could possibly be a Taurus or a Gemini, I’m literally getting induced on the cusp",2021-05-03 23:33:42+00:00,False
Sometimes I remember my grandparents are republican and want to vomit,2021-05-02 01:50:46+00:00,False
Odio a los gringos. Fucking culture vultures. https://t.co/xHdxSmzSmP,2021-05-01 02:42:01+00:00,False
Making lesson plans makes me REALLY reconsider teaching as a career.,2021-04-30 21:32:12+00:00,False
Whyyyyy do people keep buying Gabriela 3 month clothes. She has too many.,2021-04-28 02:12:43+00:00,False
"If I’m not skinny by the time I go back to Brazil, I will simply just pass away.",2021-04-26 18:38:46+00:00,False
Goodnight to Matthew Lillard and Matthew Lillard only.,2021-04-26 01:42:58+00:00,False
 I’m super proud of you! ❤️,2021-04-26 00:42:04+00:00,False
Make it make sense,2021-04-25 22:06:01+00:00,False
